,condition
T1_HL48G,HL_48_G
T2_HL48G,HL_48_G
T4_HL48G,HL_48_G
T5_HL48G,HL_48_G
T11_HL48G,HL_48_58_G
T12_HL48G,HL_48_58_G
T13_HL48G,HL_48_58_G
T14_HL48G,HL_48_58_G
T15_HL48G,HL_48_58_G
T16_HL48X,HL_48_X
T17_HL48X,HL_48_X
T18_HL48X,HL_48_X
T19_HL48X,HL_48_X
T21_HL48X,HL_48_58_X
T22_HL48X,HL_48_58_X
T23_HL48X,HL_48_58_X
T24_HL48X,HL_48_58_X
