,T1_HL48G,T2_HL48G,T4_HL48G,T5_HL48G,T11_HL48G,T12_HL48G,T13_HL48G,T14_HL48G,T15_HL48G,T16_HL48X,T17_HL48X,T18_HL48X,T19_HL48X,T21_HL48X,T22_HL48X,T23_HL48X,T24_HL48X
hotlake_ucc_69612,429,193,69,218,32,174,104,75,72,62,77,32,76,235,131,132,433
hotlake_ucc_69613,1656,1066,287,1232,261,807,600,483,681,180,182,81,194,873,592,492,3237
hotlake_ucc_69614,264,130,34,107,53,108,72,39,68,38,38,17,35,169,96,98,571
hotlake_ucc_69615,989,527,160,614,185,517,375,230,345,204,162,84,217,775,385,365,1626
hotlake_ucc_69616,1520,880,209,1041,182,712,607,332,472,326,290,167,380,1223,776,733,2253
hotlake_ucc_69617,1469,679,214,983,336,727,635,356,413,185,259,99,243,721,485,439,1614
hotlake_ucc_69618,545,301,79,431,109,321,259,209,256,109,111,43,127,362,221,220,836
hotlake_ucc_69619,282,106,51,141,45,163,103,64,77,42,42,18,54,150,81,82,307
hotlake_ucc_69620,614,276,55,301,144,244,212,138,178,125,144,42,205,478,276,244,986
hotlake_ucc_69621,823,365,121,463,179,421,311,194,312,63,90,44,114,402,210,216,1360
hotlake_ucc_69622,2871,1623,361,2141,658,1530,1215,762,966,295,303,136,345,1390,752,780,3984
hotlake_ucc_69624,2295,1064,318,1319,556,1315,961,693,869,406,396,128,399,1028,628,599,3075
hotlake_ucc_69625,2798,1710,552,2570,663,1989,2032,1175,1175,286,322,183,365,1764,1114,982,4178
hotlake_ucc_69626,19282,11649,4368,16831,3085,7513,5808,3946,5202,2819,2787,1329,2718,9152,7141,5280,14390
hotlake_ucc_69627,13333,7401,2146,7562,3008,7361,4259,3201,4417,2540,2516,1116,2670,10121,6296,5648,21055
hotlake_ucc_69628,9698,5174,1425,4764,1464,3960,2353,1634,2698,1818,1738,703,1677,6410,4067,4160,18131
hotlake_ucc_69629,6780,3695,941,3886,917,3484,2163,1282,2594,1122,1186,598,1282,4473,2745,2615,12787
hotlake_ucc_69630,4014,1985,521,2221,922,2065,1715,1040,1212,778,1020,386,1133,3051,1435,1541,7501
hotlake_ucc_69631,5014,2405,545,2352,942,2323,1540,981,1616,1040,1015,421,1080,3699,2310,2290,10692
hotlake_ucc_69632,645,330,77,409,97,328,235,155,191,228,211,107,231,976,538,534,833
hotlake_ucc_69633,1578,1052,288,1382,237,733,588,414,580,290,283,120,249,1325,819,611,2436
hotlake_ucc_69634,2762,1329,353,1345,583,1189,848,569,873,618,591,240,610,2500,1411,1346,4738
hotlake_ucc_69635,2206,1108,336,1571,666,1631,1236,752,970,909,1162,430,1196,4283,2704,2346,3485
hotlake_ucc_69636,783,503,135,685,119,453,389,249,307,157,174,70,159,1169,866,591,1224
hotlake_ucc_69637,106719,73598,23973,107802,13540,55605,41587,26830,44932,17350,18157,9146,16457,107100,72215,55604,206346
hotlake_ucc_69638,197,111,25,125,45,78,86,58,61,39,63,25,80,276,131,171,366
hotlake_ucc_69639,2025,906,256,1148,442,1102,772,500,598,382,380,187,427,1423,827,787,2182
hotlake_ucc_69641,775,384,132,456,100,348,389,195,206,234,312,142,332,1658,758,902,1197
