,T1_HL48G,T2_HL48G,T4_HL48G,T5_HL48G,T11_HL48G,T12_HL48G,T13_HL48G,T14_HL48G,T15_HL48G,T16_HL48X,T17_HL48X,T18_HL48X,T19_HL48X,T21_HL48X,T22_HL48X,T23_HL48X,T24_HL48X
hotlake_ucc_69421,979,385,95,454,222,440,359,270,226,485,631,142,901,1224,903,895,1108
hotlake_ucc_69422,875,451,107,706,368,429,634,380,272,234,230,96,203,1086,626,842,1272
hotlake_ucc_69423,9090,4088,1104,10953,4378,3581,7181,3993,2512,5761,5977,2833,7356,23431,15932,14564,9826
hotlake_ucc_69424,299,130,44,95,37,132,68,36,77,26,29,11,36,118,87,78,768
hotlake_ucc_69425,15383,8961,2146,21485,3360,7565,8964,5399,5895,8670,10265,5873,11198,50301,32145,32322,13170
hotlake_ucc_69426,727,332,77,350,123,309,209,128,192,196,204,100,288,854,440,482,1270
hotlake_ucc_69427,73,31,9,19,24,24,22,19,27,17,24,6,26,85,32,43,118
hotlake_ucc_69428,75,40,9,32,14,29,20,15,20,4,4,9,11,27,10,14,93
hotlake_ucc_69429,145,76,17,66,37,85,43,36,52,41,50,10,54,185,78,109,253
hotlake_ucc_69430,2178,1279,407,2012,773,1961,1499,800,933,440,472,329,626,2956,2241,1585,2452
hotlake_ucc_69431,845,378,123,464,188,445,319,179,250,311,257,147,335,1457,1009,983,1110
hotlake_ucc_69432,1408,718,223,912,317,833,583,306,493,347,384,200,468,1471,1061,793,2588
hotlake_ucc_69433,1129,613,134,607,139,506,355,222,292,164,180,71,169,655,379,296,1691
hotlake_ucc_69434,422,237,65,189,69,211,126,105,112,44,37,15,41,163,100,104,628
hotlake_ucc_69435,310,148,29,97,55,129,89,53,75,25,36,6,40,217,141,112,257
hotlake_ucc_69436,94,76,17,39,11,26,38,25,23,24,23,8,30,103,74,52,127
hotlake_ucc_69437,358,145,41,164,100,140,129,73,100,39,58,17,64,162,75,111,564
hotlake_ucc_69439,184,103,21,73,29,103,63,38,51,83,53,21,67,235,127,127,216
hotlake_ucc_69440,1065,510,158,456,89,513,299,207,299,137,120,70,196,619,289,314,1275
hotlake_ucc_69441,1184,630,143,408,173,621,272,159,386,172,194,71,249,640,407,381,1635
hotlake_ucc_69442,2892,1467,406,1052,374,1266,563,418,873,243,341,116,333,1071,722,666,4723
hotlake_ucc_69443,1117,562,128,279,126,411,238,146,317,60,107,30,94,452,274,325,1886
hotlake_ucc_69444,1208,794,206,778,180,599,382,252,440,136,130,57,153,479,347,310,2616
hotlake_ucc_69445,1449,515,193,513,228,601,411,274,388,172,176,76,187,455,260,282,1430
hotlake_ucc_69446,2657,1413,453,2011,625,1508,1649,874,967,1568,1468,568,1593,6313,4112,3365,3255
hotlake_ucc_69447,2113,1076,321,993,295,1061,683,408,687,522,523,291,615,2474,1448,1525,2756
hotlake_ucc_69448,4887,2669,994,4275,1180,2894,2679,1402,1771,745,862,434,1030,3885,2559,2108,6722
hotlake_ucc_69449,414,192,79,369,93,286,245,153,132,198,177,114,252,840,591,418,689
hotlake_ucc_69450,1340,655,185,916,491,630,573,339,393,1064,1085,460,1122,3744,2888,3122,1536
hotlake_ucc_69451,480,210,40,241,84,255,179,111,115,143,172,64,200,573,310,314,765
hotlake_ucc_69452,476,252,73,260,114,223,191,123,160,80,101,33,107,325,260,273,728
hotlake_ucc_69453,13,7,0,11,4,8,5,3,5,2,4,2,6,15,10,11,15
hotlake_ucc_69454,29,12,4,14,10,6,7,1,9,2,8,4,6,19,19,31,43
hotlake_ucc_69456,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
hotlake_ucc_69457,1969,1208,511,1695,481,970,1097,590,562,154,162,86,224,769,511,385,2383
hotlake_ucc_69458,1061,643,311,954,163,484,452,223,287,78,103,37,124,444,240,210,1271
hotlake_ucc_69459,978,575,259,1012,274,520,607,280,274,192,205,101,215,806,494,445,1129
hotlake_ucc_69460,564,337,95,314,102,282,190,175,96,83,102,42,98,303,188,185,687
hotlake_ucc_69461,281,180,85,345,84,163,158,94,105,45,55,16,61,242,116,113,498
hotlake_ucc_69462,206625,64003,58939,339961,358526,314668,225119,146623,192944,275301,496299,36849,428280,484243,826912,391310,513191
hotlake_ucc_69463,629,385,131,647,114,282,384,193,251,121,142,54,94,815,493,416,886
hotlake_ucc_69464,1791,1283,453,2366,475,1018,1109,675,849,175,281,121,245,1551,1068,755,2081
hotlake_ucc_69465,4566,3221,1183,6918,963,2740,3140,2059,1928,882,944,625,943,6909,6447,4096,7127
hotlake_ucc_69466,2391,1475,539,3265,509,1156,1251,901,819,559,644,442,630,3054,2873,1799,2818
hotlake_ucc_69467,848,616,213,900,163,476,493,223,320,96,101,47,93,512,392,250,1038
hotlake_ucc_69468,4069,2903,1094,5469,992,2412,2340,1486,1539,515,600,321,497,3084,2373,1708,6797
hotlake_ucc_69469,4052,3006,1272,4995,973,2381,2273,1533,1847,1039,1084,556,1038,5894,4971,3079,8854
hotlake_ucc_69470,1741,1287,502,2849,589,1255,1409,868,870,530,534,305,492,2744,1878,1503,2811
hotlake_ucc_69471,1095,703,265,1064,209,690,558,369,423,200,252,135,280,1185,767,641,1384
hotlake_ucc_69472,4779,3087,1097,4824,960,2666,2446,1468,1877,862,958,528,1049,4205,2647,2195,6054
hotlake_ucc_124538,19,7,6,24,7,16,9,9,8,3,10,1,4,18,13,11,37
hotlake_ucc_69473,4,2,4,6,2,3,4,1,4,6,6,0,4,7,5,5,12
hotlake_ucc_69474,7,2,2,4,0,6,6,7,1,2,8,0,2,14,7,16,12
hotlake_ucc_69475,0,0,1,2,0,0,0,0,0,0,0,1,0,6,6,2,0
hotlake_ucc_69476,1,5,0,0,4,0,3,0,2,0,0,0,0,3,4,3,7
hotlake_ucc_69477,2,0,0,0,0,1,3,0,1,0,1,1,1,9,1,3,1
hotlake_ucc_69478,102,55,15,52,21,26,39,21,30,44,52,24,60,225,144,116,158
hotlake_ucc_124539,951,463,137,912,344,482,669,333,333,684,773,327,863,2936,1734,1719,1095
hotlake_ucc_69479,105,27,11,62,9,35,28,10,21,20,21,11,22,63,45,27,42
hotlake_ucc_69480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotlake_ucc_69481,39,40,14,45,9,33,39,26,22,20,19,13,31,79,73,36,76
hotlake_ucc_69482,36,36,13,52,2,13,31,16,17,4,5,8,1,45,25,23,53
hotlake_ucc_69483,733,673,276,1612,234,541,602,432,354,140,130,70,118,1037,790,487,889
hotlake_ucc_69484,455,466,222,1092,188,380,345,305,270,73,78,28,50,367,333,215,538
hotlake_ucc_69485,12541,12074,5328,40636,6440,11650,12764,10336,6560,1934,1862,965,1542,7869,6226,3890,7924
hotlake_ucc_69486,1409,860,293,1209,232,590,568,328,422,139,137,74,128,601,352,293,1403
hotlake_ucc_69487,195,113,36,177,35,100,114,60,62,57,92,39,90,317,252,203,486
hotlake_ucc_69488,528,269,81,393,134,331,245,126,190,98,116,56,124,471,286,218,618
hotlake_ucc_124540,371,202,42,353,123,289,233,135,119,49,40,20,48,231,133,135,570
hotlake_ucc_69489,2254,2287,842,3866,686,1577,1199,1079,1261,1144,1062,618,1024,4967,4344,2761,2391
hotlake_ucc_124541,218,112,19,178,31,119,144,57,64,66,57,36,58,352,186,142,330
hotlake_ucc_69490,1754,1231,399,1512,232,825,727,418,573,237,202,117,192,1049,756,552,2229
hotlake_ucc_69491,1518,792,257,964,295,677,583,305,406,251,286,124,274,983,481,505,1392
hotlake_ucc_69492,1002,449,116,535,175,451,418,241,272,303,288,101,343,987,512,524,1229
hotlake_ucc_69493,564,297,83,393,92,312,258,166,202,90,110,33,82,374,191,214,506
hotlake_ucc_69494,1194,610,230,925,247,639,664,305,422,294,340,125,376,1190,727,636,1187
hotlake_ucc_69495,840,476,152,574,104,487,332,191,197,126,149,53,149,523,278,260,926
hotlake_ucc_69496,1750,1024,328,1191,285,945,694,463,545,256,297,139,290,1024,671,560,2520
hotlake_ucc_69497,620,394,121,437,163,279,252,136,215,75,88,56,99,370,291,229,961
hotlake_ucc_69498,2534,1357,445,2109,618,1355,1178,713,706,646,619,271,647,1997,1417,1562,2209
hotlake_ucc_69499,3789,1887,494,1714,531,1636,842,503,1034,332,441,181,457,1402,692,686,14217
hotlake_ucc_69500,1371,823,230,859,253,669,546,393,411,376,423,199,453,1755,1079,1038,1204
hotlake_ucc_69501,116,66,20,67,30,49,73,34,56,53,81,46,84,252,160,151,252
hotlake_ucc_69502,1624,855,216,992,247,834,694,419,452,263,322,142,398,1138,708,659,1940
hotlake_ucc_69503,2211,1096,359,1216,317,1085,734,457,720,289,259,152,303,1162,773,631,2811
hotlake_ucc_69504,405,160,59,132,42,156,149,64,101,41,31,16,26,125,58,74,463
hotlake_ucc_69505,3265,2355,731,4005,957,1820,1628,1357,1423,369,417,163,418,1761,1145,865,2942
hotlake_ucc_69506,3268,1591,448,1750,534,1395,1124,640,859,216,210,87,248,970,517,590,4227
hotlake_ucc_69507,1599,825,224,991,243,738,516,369,476,146,143,65,145,613,360,355,2220
hotlake_ucc_69508,6155,3096,752,2355,622,2051,1085,745,1567,918,931,494,1128,3798,2368,2127,10661
hotlake_ucc_69509,496,249,69,219,49,191,122,79,115,68,72,36,59,242,149,131,843
hotlake_ucc_69510,5776,3181,973,7262,2025,3962,4234,2131,2053,1221,1401,602,1243,4018,2318,2082,4418
hotlake_ucc_69511,4206,2057,536,2227,586,2263,1409,854,1388,492,552,283,678,2588,1505,1327,6434
hotlake_ucc_69512,251,95,39,106,37,122,92,67,82,49,57,23,78,189,122,125,228
hotlake_ucc_69513,3604,2166,575,3031,625,1765,1634,1000,1033,1375,1398,669,1494,6430,3764,3337,4652
hotlake_ucc_69514,1778,679,197,762,327,840,650,367,542,550,537,243,762,2663,1384,1349,2383
hotlake_ucc_69515,1004,453,156,446,122,440,295,178,287,178,169,99,202,1138,601,692,1852
hotlake_ucc_69516,2900,1727,535,2040,578,1682,1221,861,996,546,545,256,620,2275,1361,1358,2989
hotlake_ucc_69517,2591,1363,347,2015,623,1660,1597,828,1133,400,424,183,412,1841,1144,1155,3286
hotlake_ucc_69518,3914,2656,870,4697,733,2603,2379,1333,1748,643,649,330,639,3699,2722,2020,6567
hotlake_ucc_69519,258896,175329,53533,260258,40730,144860,120075,68624,111550,28282,28311,14815,25942,139849,95550,75613,774015
hotlake_ucc_69521,8858,4370,1392,5706,1940,4755,4423,2354,2944,1124,1149,481,1293,4920,2706,2487,13001
hotlake_ucc_69522,1891,989,287,1608,420,1068,1076,708,672,677,550,349,654,2769,1647,1358,2126
hotlake_ucc_69523,1048,527,131,617,159,434,396,194,279,156,157,73,173,690,343,317,997
hotlake_ucc_69524,6899,2011,1149,2990,3246,3529,3668,2527,1612,10310,12234,760,12466,5795,7015,3487,7829
hotlake_ucc_124542,212,107,27,92,21,124,60,27,101,20,27,13,12,97,57,55,466
hotlake_ucc_69525,9297,5993,2193,11314,2421,5774,5867,3609,3100,1041,1176,550,1069,4386,2588,1974,7662
hotlake_ucc_69526,12191,8319,3163,13254,2555,7224,6444,3934,3732,1171,1285,644,1116,4274,2955,2150,6225
hotlake_ucc_69528,1232,620,215,782,215,631,485,317,414,374,336,171,356,1362,845,807,2385
hotlake_ucc_69529,3285,1939,545,2983,587,1747,1512,809,1094,783,697,425,757,3541,2050,1690,5158
hotlake_ucc_69530,4384,2822,781,4083,811,2703,2458,1289,1462,1330,1255,774,1362,7040,4231,3286,5637
hotlake_ucc_69531,3268,2114,641,3490,779,1876,1991,1205,1337,1152,1070,521,1023,5379,3630,2878,2835
hotlake_ucc_69532,170,92,36,206,35,69,130,78,66,1,3,5,3,20,34,27,163
hotlake_ucc_69533,725,463,152,888,332,442,572,400,333,46,59,27,68,342,301,201,1053
hotlake_ucc_69535,519,263,87,556,199,255,330,225,195,39,38,14,27,157,100,119,911
hotlake_ucc_69536,329,221,78,422,96,176,210,133,165,21,19,16,14,185,103,97,901
