Locus_Tag,T6_HL58G,T7_HL58G,T8_HL58G,T9_HL58G,T10_HL58G,T11_HL58G,T12_HL58G,T13_HL58G,T14_HL58G,T15_HL58G,T21_HL58X,T22_HL58X,T23_HL58X,T24_HL58X
hotlake_ucc_83346,1228,1126,1368,1281,1434,39,166,120,70,145,85,62,52,137
hotlake_ucc_83348,76,73,82,55,71,13,206,73,37,147,1,3,0,40
hotlake_ucc_83349,157,134,179,144,133,55,241,124,66,185,6,4,7,29
hotlake_ucc_83350,374,275,346,281,300,80,405,241,161,403,15,13,17,72
hotlake_ucc_83352,2165,1442,1715,1505,1830,96,411,297,212,521,80,61,56,102
hotlake_ucc_83353,1269,1219,1662,1307,1702,434,1546,1183,763,928,42,12,10,184
hotlake_ucc_83354,247,164,178,133,211,22,223,81,54,171,9,6,9,28
hotlake_ucc_83355,2131,1250,1359,842,1601,54,602,179,150,564,43,20,31,36
hotlake_ucc_83357,1511,991,1303,1330,1298,250,855,669,419,744,28,18,9,68
hotlake_ucc_83358,1243,1048,1239,941,1091,236,651,570,349,546,26,7,23,61
hotlake_ucc_83359,5154,4456,4915,4923,5266,650,1516,1259,954,1316,242,147,156,500
hotlake_ucc_83360,110,81,119,93,145,9,40,26,18,15,32,13,17,38
hotlake_ucc_83362,210,171,191,164,164,19,161,120,60,153,14,10,8,23
hotlake_ucc_83363,227,114,183,115,123,28,153,115,60,169,25,11,6,30
hotlake_ucc_83364,251,183,251,186,264,45,196,154,77,168,21,9,8,27
hotlake_ucc_83365,4738,3782,4414,4176,4195,82,405,196,160,407,190,104,98,238
hotlake_ucc_83366,1124,883,885,909,973,82,284,251,153,240,15,30,16,44
hotlake_ucc_83367,7534,5783,7171,6997,6728,467,1206,1459,837,979,312,175,141,386
hotlake_ucc_83368,6307,4739,5193,5451,5481,665,1228,1469,1027,1224,269,130,107,356
hotlake_ucc_83369,7150,5937,5924,6002,5903,643,1415,1751,949,1135,280,158,92,355
hotlake_ucc_83370,50577,37499,47429,49224,46802,3952,9333,11072,6540,8178,1490,942,738,1939
hotlake_ucc_83371,6071,5043,5985,5594,5804,644,1712,1519,993,1355,306,184,182,379
hotlake_ucc_83372,9886,8174,9345,8645,8466,752,1578,2250,1137,1299,392,190,158,450
hotlake_ucc_83373,10350,7876,9592,10049,9973,1022,1657,2293,1238,1499,360,217,165,445
hotlake_ucc_83374,14695,10781,13483,12409,11582,1200,2175,2916,1674,1798,444,241,239,588
hotlake_ucc_83375,11049,8490,10478,9301,9341,813,1816,2526,1299,1482,366,202,158,554
hotlake_ucc_83376,19087,14108,17438,15545,14974,1327,2780,3580,1994,2142,528,257,209,889
hotlake_ucc_83377,3700,2980,3475,3304,3597,389,1241,1146,639,994,106,44,52,223
hotlake_ucc_83378,45188,65760,55325,37679,30338,5521,9981,7120,5302,4352,1263,855,758,2279
hotlake_ucc_83379,572,466,611,537,572,96,693,201,113,557,23,11,17,62
hotlake_ucc_83380,711,495,650,550,681,100,647,290,219,627,17,24,9,88
hotlake_ucc_83381,1114,891,1171,1118,1147,233,1213,549,455,1223,52,36,39,158
hotlake_ucc_83383,2062,1460,1973,1640,1862,303,2391,886,792,2427,85,70,35,177
hotlake_ucc_83384,1498,1179,1600,1192,1333,267,1608,631,509,1595,46,39,23,64
hotlake_ucc_83385,2581,2225,2519,2380,2700,305,1805,746,483,1482,64,37,52,167
hotlake_ucc_83386,539,441,548,481,563,99,450,219,154,440,22,12,3,44
hotlake_ucc_83387,954,712,832,718,823,82,494,321,220,423,36,16,19,65
hotlake_ucc_83388,5485,3808,3677,3611,4336,186,836,450,320,648,160,76,91,165
hotlake_ucc_83389,2746,1857,1883,1649,2419,116,517,259,181,442,88,58,33,97
hotlake_ucc_83390,6440,4155,5927,4734,5415,610,4383,1553,1343,3754,133,85,60,226
hotlake_ucc_83391,6817,5247,6219,5568,5994,676,3593,1817,1523,3285,183,94,96,321
hotlake_ucc_83392,4820,3309,4259,3828,4350,539,2317,1345,893,1833,142,76,56,181
hotlake_ucc_83393,6034,4317,4910,4499,4796,635,2681,1334,1267,2012,151,75,49,174
hotlake_ucc_83394,4584,3200,3953,3396,3946,543,1943,1081,1008,1559,116,90,59,156
hotlake_ucc_83395,5285,4161,4718,4132,4328,540,1989,1040,835,1488,142,91,73,190
hotlake_ucc_83396,1891,1500,1805,1651,1823,166,1052,531,413,813,60,16,17,63
hotlake_ucc_83397,2922,2072,2646,2328,2469,318,1454,593,523,1092,69,25,35,53
hotlake_ucc_83399,4824,3462,4042,3536,3844,497,1837,978,692,1268,83,57,51,121
hotlake_ucc_83400,2359,1926,2554,2024,2360,543,1174,1322,859,943,22,12,10,37
hotlake_ucc_83401,1699,1288,1824,1315,1614,323,752,943,561,583,20,7,9,35
hotlake_ucc_83402,9812,8252,10729,8555,10106,1590,4454,5219,3163,3204,67,25,44,113
hotlake_ucc_83403,5378,2606,2893,4629,1841,407,536,1996,568,419,25,6,7,415
hotlake_ucc_83404,52,73,63,44,37,65,60,50,13,22,42,41,48,111
hotlake_ucc_83405,430,337,330,275,438,39,183,112,112,124,56,36,33,42
hotlake_ucc_83406,706,551,653,655,676,37,157,195,158,129,56,22,26,41
hotlake_ucc_83407,591,509,565,472,568,47,168,145,81,166,21,12,8,51
hotlake_ucc_83408,403,330,387,314,376,14,77,79,41,48,15,16,25,31
hotlake_ucc_83409,976,758,882,736,822,58,198,162,143,147,23,9,15,44
hotlake_ucc_83411,280,212,318,219,311,35,265,90,86,240,21,12,19,60
hotlake_ucc_83413,588,492,655,443,335,63,87,52,43,79,17,15,13,46
hotlake_ucc_83414,1075,974,896,936,920,69,178,181,187,173,23,11,8,28
hotlake_ucc_83415,473,390,498,352,407,58,271,145,94,196,19,9,11,18
hotlake_ucc_83416,1545,1319,1503,1366,1536,188,794,437,357,712,46,28,40,102
hotlake_ucc_83417,636,482,662,531,652,45,384,224,163,341,34,9,14,30
hotlake_ucc_83418,12449,9151,9379,10100,9274,1095,2378,4216,1583,1894,169,94,77,403
hotlake_ucc_83419,8330,5967,7792,8556,8422,366,2035,1448,925,2130,165,132,70,203
hotlake_ucc_83421,1953,1386,1770,1563,1847,230,1462,591,517,1559,240,119,156,400
hotlake_ucc_83422,924,623,793,552,738,75,570,202,185,543,43,13,12,86
hotlake_ucc_83423,8490,6168,8150,7034,7025,1788,5387,4061,3316,4434,163,99,75,231
hotlake_ucc_83424,1645,1342,1791,1478,1524,159,434,345,241,472,49,21,16,73
hotlake_ucc_83425,3152,2071,3034,2265,2961,422,2632,1048,825,2264,82,63,55,190
hotlake_ucc_83426,2638,1584,2524,1779,2100,324,1961,875,560,1906,75,62,43,187
hotlake_ucc_83427,1888,1030,1566,1237,1465,183,1119,662,444,1216,74,45,40,80
hotlake_ucc_83428,7762,5716,7353,5918,6928,1232,6398,2668,2167,5893,437,236,240,869
hotlake_ucc_83429,4769,3572,4425,3625,4275,559,2765,1149,983,2441,191,112,125,349
hotlake_ucc_83430,16385,13608,17294,15095,17837,3956,11753,9444,6193,9061,354,215,197,1370
hotlake_ucc_83431,6774,7003,8092,6950,8329,1982,5765,4094,2990,4480,150,100,110,636
hotlake_ucc_83432,9327,9192,11248,9324,12176,2438,7992,5052,4099,6831,199,124,116,540
hotlake_ucc_83433,3033,2459,3399,2708,2997,855,5157,1866,1558,4773,85,45,68,301
hotlake_ucc_83434,2641,2529,3137,2684,2834,851,4653,1390,1136,3612,78,36,28,235
hotlake_ucc_83435,2220,1674,2145,1820,1809,211,1163,486,428,959,84,42,28,134
hotlake_ucc_83436,785,620,784,749,839,98,547,185,181,475,29,17,16,60
hotlake_ucc_83437,875,659,923,816,800,115,516,229,210,455,17,12,14,40
hotlake_ucc_83438,519,486,457,431,523,77,401,165,172,351,25,7,10,37
hotlake_ucc_83439,4625,4240,4454,3788,4302,449,956,1256,615,626,201,98,115,255
hotlake_ucc_83440,451,360,475,380,384,68,363,136,85,262,18,5,10,52
hotlake_ucc_83441,2605,1932,2257,1952,2293,435,2157,945,800,1807,91,51,38,182
hotlake_ucc_83442,1753,1336,1549,1333,1451,198,1049,537,459,824,48,25,25,102
hotlake_ucc_83443,1236,972,1221,960,1107,217,1081,430,353,710,24,6,15,54
hotlake_ucc_83444,887,703,837,699,790,53,268,137,102,227,55,22,26,87
hotlake_ucc_83446,1765,1590,1874,1687,1720,111,265,246,141,194,125,69,49,96
hotlake_ucc_83447,1096,763,968,844,889,127,576,288,207,456,28,15,18,83
hotlake_ucc_83448,893,627,838,782,923,147,437,232,213,401,37,20,13,52
hotlake_ucc_83449,154,113,155,131,134,17,53,58,25,37,16,12,6,35
hotlake_ucc_83450,16628,13364,16857,15710,16007,930,2422,2684,1605,1897,586,304,253,654
hotlake_ucc_83451,18235,13920,15348,15841,15957,673,2033,2079,1336,1612,472,279,207,595
hotlake_ucc_83452,6318,5118,6063,4949,5386,443,940,1116,588,626,173,85,76,248
hotlake_ucc_83454,8582,6314,8032,8271,7955,860,2128,2020,1454,1751,180,116,98,266
hotlake_ucc_83455,6020,4692,5419,5277,5397,542,1385,1585,929,1190,148,72,64,165
hotlake_ucc_83456,1280,1050,1160,1022,1069,209,483,377,260,370,18,17,12,42
hotlake_ucc_83457,1234,1242,1913,682,1874,108,195,242,151,168,34,11,13,129
hotlake_ucc_83458,1891,2149,2931,936,2804,73,206,259,157,180,23,16,12,119
hotlake_ucc_83459,215,114,174,162,180,14,36,37,36,69,11,8,6,13
hotlake_ucc_83460,488,333,487,360,414,48,151,136,89,142,20,15,12,40
hotlake_ucc_83461,794,607,751,665,752,64,185,146,110,154,30,16,17,37
hotlake_ucc_83462,383,337,361,268,321,53,133,68,54,73,11,7,6,16
hotlake_ucc_83463,149,156,171,141,172,15,31,22,22,41,3,3,0,2
hotlake_ucc_83464,211987,265238,222025,141527,134376,297151,239690,103647,107142,189809,460068,605749,321924,401000
hotlake_ucc_83465,31,18,28,28,35,9,10,4,4,11,0,0,0,1
hotlake_ucc_83466,784,617,773,680,776,51,201,165,98,174,12,5,12,37
hotlake_ucc_83467,758,531,667,515,689,50,198,124,94,175,20,1,4,38
hotlake_ucc_83468,261,219,246,201,171,11,64,30,15,49,19,8,1,17
hotlake_ucc_83469,285,208,320,247,257,24,133,72,39,129,11,4,4,16
hotlake_ucc_83470,17,12,26,20,38,5,32,16,9,30,1,6,3,5
hotlake_ucc_83471,38,17,32,21,24,3,45,16,17,25,1,0,3,5
hotlake_ucc_83472,1036,807,1015,694,712,40,127,119,75,147,2,5,7,22
hotlake_ucc_83473,2425,2177,2402,2180,2281,217,1028,496,440,1014,54,34,22,125
hotlake_ucc_83474,1488,1344,1306,1211,1435,204,727,391,288,586,29,19,20,94
hotlake_ucc_83475,591,524,701,533,641,100,330,211,123,263,10,11,7,37
hotlake_ucc_83476,888,635,824,622,637,100,233,269,185,213,7,4,5,17
hotlake_ucc_83478,1372,1062,1279,1108,1175,185,471,381,344,381,14,7,15,33
hotlake_ucc_83479,882,767,846,721,727,117,275,317,174,201,12,4,6,35
hotlake_ucc_83480,1234,1022,1308,1015,1238,139,422,432,265,338,18,7,8,22
hotlake_ucc_83481,4139,3154,4209,3966,4628,136,219,140,96,178,20,10,11,45
hotlake_ucc_83482,53637,12570,43567,32868,27897,15767,50492,31558,9421,20712,131360,76164,66072,159360
hotlake_ucc_83483,377,320,419,422,458,26,99,84,78,73,4,4,0,6
hotlake_ucc_83484,174,118,133,111,122,15,41,30,18,40,4,1,1,5
hotlake_ucc_83485,334,211,331,363,395,16,101,66,47,73,10,7,2,17
hotlake_ucc_83486,10154,7623,10284,12755,11436,1262,4691,3470,3161,4811,174,95,71,188
hotlake_ucc_83487,2099,1581,2187,2915,2517,446,2178,1235,1100,2165,32,19,13,65
hotlake_ucc_83488,1038,666,960,1005,1000,53,157,195,145,139,10,11,7,23
hotlake_ucc_83489,187,147,214,145,135,10,56,35,25,37,7,3,10,17
hotlake_ucc_83490,587,433,576,545,535,84,428,278,228,439,7,5,6,25
hotlake_ucc_83491,555,335,544,531,579,95,269,159,150,237,15,10,0,28
hotlake_ucc_83492,1354,1044,1433,1333,1453,206,907,583,425,783,47,29,17,78
hotlake_ucc_83493,756,507,716,673,775,74,350,262,196,346,13,13,6,25
hotlake_ucc_83494,1055,803,1216,1122,1188,96,448,339,203,360,28,29,14,60
hotlake_ucc_83495,1210,784,1113,1024,1053,107,396,280,172,375,24,17,16,40
hotlake_ucc_83496,1995,1420,1860,1965,2090,178,587,515,376,571,38,26,12,47
hotlake_ucc_83497,674,472,605,627,666,49,272,192,142,231,28,11,9,46
hotlake_ucc_83498,754,644,615,666,579,105,310,208,135,222,29,14,9,48
hotlake_ucc_83499,1405,1116,1341,1414,1432,124,783,446,333,680,51,32,29,81
